id,nom,supertype,rarity,set_name,set_annee,numero,hp,artist,subtypes,types,prix_market,prix_mid,type_prix
bw10-2,Masquerain,Pokémon,Rare,Plasma Blast,2013,2,80,5ban Graphics,"Stage 1, Team Plasma",Grass,0.56,0.54,normal
ex7-3,Dark Crobat,Pokémon,Rare Holo,Team Rocket Returns,2004,3,90,Kyoko Koizumi,Stage 2,"Grass, Darkness",29.34,139.49,holofoil
ex12-3,Cradily,Pokémon,Rare Holo,Legend Maker,2006,3,100,Hajime Kusajima,Stage 2,Grass,8.78,12.22,holofoil
swsh35-2,Weedle,Pokémon,Common,Champion's Path,2020,2,60,Yuka Morii,Basic,Grass,0.22,0.25,normal
gym2-2,Blaine's Charizard,Pokémon,Rare Holo,Gym Challenge,2000,2,100,Ken Sugimori,Stage 2,Fire,,,
xy2-3,Butterfree,Pokémon,Rare,Flashfire,2014,3,130,sui,Stage 2,Grass,0.67,0.67,normal
xy11-2,Tangrowth,Pokémon,Uncommon,Steam Siege,2016,2,130,kirisAki,Stage 1,Grass,0.15,0.2,normal
det1-3,Morelull,Pokémon,Common,Detective Pikachu,2019,3,50,MPC Film,Basic,Grass,0.34,0.32,holofoil
ex3-3,Crawdaunt,Pokémon,Rare Holo,Dragon,2003,3,80,Hisao Nakamura,Stage 1,Water,8.36,8.86,holofoil
dv1-3,Dragonair,Pokémon,Rare Holo,Dragon Vault,2012,3,70,Hajime Kusajima,Stage 1,Dragon,4.91,5.1,holofoil
sm9-3,Weedle,Pokémon,Common,Team Up,2019,3,50,SATOSHI NAKAI,Basic,Grass,0.16,0.22,normal
pop7-2,Gallade,Pokémon,Rare,POP Series 7,2008,2,130,Daisuke Ito,Stage 2,Fighting,19.38,22.29,normal
sm1-2,Metapod,Pokémon,Uncommon,Sun & Moon,2017,2,80,Yuka Morii,Stage 1,Grass,0.29,0.3,normal
mcd19-3,Magmar,Pokémon,,McDonald's Collection 2019,2019,3,80,Yumi,Basic,Fire,10.19,10.0,holofoil
col1-2,Deoxys,Pokémon,Rare Holo,Call of Legends,2011,2,80,Ryo Ueda,Basic,Psychic,26.42,50.98,holofoil
pl1-3,Blaziken,Pokémon,Rare Holo,Platinum,2009,3,130,Hajime Kusajima,Stage 2,Fire,19.95,20.17,holofoil
sm115-2,Metapod,Pokémon,Uncommon,Hidden Fates,2019,2,90,Shibuzoh.,Stage 1,Grass,0.07,0.2,normal
gym1-3,Erika's Clefable,Pokémon,Rare Holo,Gym Heroes,2000,3,70,Atsuko Nishida,Stage 1,Colorless,,,
dp3-3,Charizard,Pokémon,Rare Holo,Secret Wonders,2007,3,130,Daisuke Ito,Stage 2,Fire,145.46,168.37,holofoil
sm2-1,Bellsprout,Pokémon,Common,Guardians Rising,2017,1,60,Aya Kusube,Basic,Grass,0.19,0.2,normal
base5-1,Dark Alakazam,Pokémon,Rare Holo,Team Rocket,2000,1,60,Ken Sugimori,Stage 2,Psychic,,,
xy4-1,Venonat,Pokémon,Common,Phantom Forces,2014,1,60,Sumiyoshi Kizuki,Basic,Grass,0.19,0.2,normal
bw11-1,Tangela,Pokémon,Common,Legendary Treasures,2013,1,70,kirisAki,Basic,Grass,0.28,0.25,normal
ex4-1,Team Aqua's Cacturne,Pokémon,Rare Holo,Team Magma vs Team Aqua,2004,1,80,K. Utsunomiya,Stage 1,"Grass, Darkness",25.4,23.52,holofoil
bw4-1,Pinsir,Pokémon,Rare,Next Destinies,2012,1,80,Masakazu Fukuda,Basic,Grass,0.61,0.62,normal
bw9-1,Weedle,Pokémon,Common,Plasma Freeze,2013,1,50,Sumiyoshi Kizuki,Basic,Grass,0.33,0.32,normal
base1-1,Alakazam,Pokémon,Rare Holo,Base,1999,1,80,Ken Sugimori,Stage 2,Psychic,71.19,69.5,holofoil
pop3-1,Blastoise,Pokémon,Rare,POP Series 3,2006,1,120,Mitsuhiro Arita,Stage 2,Water,149.99,175.0,normal
dp4-1,Blaziken,Pokémon,Rare Holo,Great Encounters,2008,1,130,Kagemaru Himeno,Stage 2,Fire,19.65,25.0,holofoil
bw7-1,Oddish,Pokémon,Common,Boundaries Crossed,2012,1,50,Kanako Eo,Basic,Grass,0.5,0.5,normal
ex8-1,Altaria,Pokémon,Rare Holo,Deoxys,2005,1,70,Kyoko Umemoto,Stage 1,Colorless,34.87,129.99,holofoil
bw5-1,Bulbasaur,Pokémon,Common,Dark Explorers,2012,1,60,Mitsuhiro Arita,Basic,Grass,5.54,4.87,normal
pop5-1,Ho-Oh,Pokémon,Rare,POP Series 5,2007,1,80,Mitsuhiro Arita,Basic,Fire,6.51,40.98,normal
sm5-1,Exeggcute,Pokémon,Common,Ultra Prism,2018,1,50,kawayoo,Basic,Grass,0.21,0.25,normal
xy10-1,Shuckle,Pokémon,Uncommon,Fates Collide,2016,1,80,sui,Basic,Grass,0.25,0.25,normal
sm8-1,Tangela,Pokémon,Common,Lost Thunder,2018,1,80,Ken Sugimori,Basic,Grass,0.29,0.33,normal
hgss2-1,Jirachi,Pokémon,Rare Holo,HS—Unleashed,2010,1,60,Wataru Kawahara,Basic,Psychic,22.4,19.99,holofoil
dpp-DP01,Turtwig,Pokémon,Promo,DP Black Star Promos,2007,DP01,60,Masakazu Fukuda,Basic,Grass,27.89,29.99,holofoil
swsh1-1,Celebi V,Pokémon,Rare Holo V,Sword & Shield,2020,1,180,PLANETA Igarashi,"Basic, V",Grass,1.7,1.75,holofoil
basep-1,Pikachu,Pokémon,Promo,Wizards Black Star Promos,1999,1,60,Keiji Kinebuchi,Basic,Lightning,,,
swsh4-1,Weedle,Pokémon,Common,Vivid Voltage,2020,1,40,sui,Basic,Grass,0.05,0.15,normal
xy1-1,Venusaur-EX,Pokémon,Rare Holo EX,XY,2014,1,180,Eske Yoshinob,"Basic, EX",Grass,6.6,7.0,holofoil
pop1-1,Blaziken,Pokémon,Rare,POP Series 1,2004,1,110,Katsura Tabata,Stage 2,Fire,10.81,47.45,normal
bw8-1,Turtwig,Pokémon,Common,Plasma Storm,2013,1,70,Kouki Saitou,Basic,Grass,0.41,0.4,normal
base6-1,Alakazam,Pokémon,Rare Holo,Legendary Collection,2002,1,80,Ken Sugimori,Stage 2,Psychic,58.98,59.99,holofoil
pop9-1,Garchomp,Pokémon,Rare,POP Series 9,2009,1,130,Kagemaru Himeno,Stage 2,Colorless,52.81,50.93,normal
pop4-1,Chimecho δ,Pokémon,Rare,POP Series 4,2006,1,60,Masakazu Fukuda,Basic,Metal,605.26,12499.5,normal
neo4-1,Dark Ampharos,Pokémon,Rare Holo,Neo Destiny,2002,1,70,Kagemaru Himeno,Stage 2,Lightning,,,
neo3-1,Ampharos,Pokémon,Rare Holo,Neo Revelation,2001,1,90,Toshinao Aoki,Stage 2,Lightning,,,
pl4-1,Charizard,Pokémon,Rare Holo,Arceus,2009,1,140,Kagemaru Himeno,Stage 2,Fire,56.05,135.45,holofoil
mcd19-4,Alolan Sandshrew,Pokémon,,McDonald's Collection 2019,2019,4,60,Shin Nagasawa,Basic,Water,4.78,4.78,holofoil
sm115-3,Butterfree,Pokémon,Rare,Hidden Fates,2019,3,130,Masakazu Fukuda,Stage 2,Grass,0.18,0.25,normal
base3-4,Dragonite,Pokémon,Rare Holo,Fossil,1999,4,100,Kagemaru Himeno,Stage 2,Colorless,,,
ex9-3,Exploud,Pokémon,Rare Holo,Emerald,2005,3,120,Hajime Kusajima,Stage 2,Colorless,17.9,142.5,normal
pop7-3,Latias,Pokémon,Rare,POP Series 7,2008,3,80,Daisuke Ito,Basic,Colorless,31.63,17.68,normal
pop6-4,Pachirisu,Pokémon,Rare,POP Series 6,2007,4,70,Atsuko Nishida,Basic,Lightning,6.72,14.9,normal
det1-4,Charmander,Pokémon,Common,Detective Pikachu,2019,4,60,MPC Film,Basic,Fire,0.7,0.62,holofoil
ex4-2,Team Aqua's Crawdaunt,Pokémon,Rare Holo,Team Magma vs Team Aqua,2004,2,80,Nakaoka,Stage 1,"Water, Darkness",19.07,13.98,holofoil
hgss1-4,Gyarados,Pokémon,Rare Holo,HeartGold & SoulSilver,2010,4,130,Mitsuhiro Arita,Stage 1,Water,40.49,36.75,holofoil
xy1-2,M Venusaur-EX,Pokémon,Rare Holo EX,XY,2014,2,230,5ban Graphics,"MEGA, EX",Grass,21.54,21.02,holofoil
ex8-2,Beautifly,Pokémon,Rare Holo,Deoxys,2005,2,100,Kagemaru Himeno,Stage 2,Grass,10.7,25.0,normal
bw5-2,Ivysaur,Pokémon,Uncommon,Dark Explorers,2012,2,90,sui,Stage 1,Grass,9.41,9.0,normal
dpp-DP02,Chimchar,Pokémon,Promo,DP Black Star Promos,2007,DP02,50,Kagemaru Himeno,Basic,Fire,17.59,8.0,holofoil
sm2-2,Weepinbell,Pokémon,Uncommon,Guardians Rising,2017,2,80,Mina Nakai,Stage 1,Grass,0.21,0.21,normal
pop4-2,Deoxys δ,Pokémon,Rare,POP Series 4,2006,2,70,Kouki Saitou,Basic,Colorless,44.55,309.45,normal
bw7-2,Gloom,Pokémon,Uncommon,Boundaries Crossed,2012,2,80,Atsuko Nishida,Stage 1,Grass,0.41,0.35,normal
xy4-2,Venomoth,Pokémon,Rare,Phantom Forces,2014,2,90,5ban Graphics,Stage 1,Grass,0.68,0.6,normal
col1-3,Dialga,Pokémon,Rare Holo,Call of Legends,2011,3,100,Ayaka Yoshida,Basic,Metal,31.14,17.45,holofoil
ex12-4,Delcatty,Pokémon,Rare Holo,Legend Maker,2006,4,80,Naoyo Kimura,Stage 1,Colorless,13.97,11.0,holofoil
bw11-2,Tangrowth,Pokémon,Rare,Legendary Treasures,2013,2,120,Kagemaru Himeno,Stage 1,Grass,0.41,0.4,normal
pl1-4,Delcatty,Pokémon,Rare Holo,Platinum,2009,4,90,Mitsuhiro Arita,Stage 1,Colorless,10.48,9.8,holofoil
swsh35-3,Kakuna,Pokémon,Common,Champion's Path,2020,3,80,Miki Tanaka,Stage 1,Grass,0.1,0.15,normal
base5-2,Dark Arbok,Pokémon,Rare Holo,Team Rocket,2000,2,60,Mitsuhiro Arita,Stage 1,Grass,,,
ecard2-H4,Azumarill,Pokémon,Rare Holo,Aquapolis,2003,H4,70,Kagemaru Himeno,Stage 1,Water,,,
neo4-2,Dark Crobat,Pokémon,Rare Holo,Neo Destiny,2002,2,70,"Shin-ichi Yoshikawa, CR CG gangs",Stage 2,Grass,,,
ex3-4,Flygon,Pokémon,Rare Holo,Dragon,2003,4,120,Mitsuhiro Arita,Stage 2,Colorless,53.28,267.2,holofoil
xy2-4,Pineco,Pokémon,Common,Flashfire,2014,4,60,Suwama Chiaki,Basic,Grass,0.17,0.2,normal
pop5-2,Lugia,Pokémon,Rare,POP Series 5,2007,2,80,Mitsuhiro Arita,Basic,Psychic,77.0,320.5,normal
base6-2,Articuno,Pokémon,Rare Holo,Legendary Collection,2002,2,70,Mitsuhiro Arita,Basic,Water,33.19,77.08,holofoil
dv1-4,Dragonair,Pokémon,Rare Holo,Dragon Vault,2012,4,70,Kagemaru Himeno,Stage 1,Dragon,11.12,12.0,holofoil
ex11-4,Espeon δ,Pokémon,Rare Holo,Delta Species,2005,4,70,Ryo Ueda,Stage 1,"Psychic, Metal",168.39,249.99,holofoil
dp4-2,Cresselia,Pokémon,Rare Holo,Great Encounters,2008,2,80,Ryo Ueda,Basic,Psychic,15.44,12.27,holofoil
dp1-2,Dusknoir,Pokémon,Rare Holo,Diamond & Pearl,2007,2,120,Takabon,Stage 2,Psychic,12.79,8.0,holofoil
gym2-3,Brock's Ninetales,Pokémon,Rare Holo,Gym Challenge,2000,3,70,Ken Sugimori,Stage 1,Fire,,,
pop1-2,Metagross,Pokémon,Rare,POP Series 1,2004,2,100,Ken Sugimori,Stage 2,Metal,5.34,14.49,normal
si1-3,Onix,Pokémon,,Southern Islands,2001,3,90,Keiko Fukuyama,Basic,Fighting,38.33,66.67,normal
dp3-4,Entei,Pokémon,Rare Holo,Secret Wonders,2007,4,80,Ryo Ueda,Basic,Fire,40.74,40.37,holofoil
base4-4,Charizard,Pokémon,Rare Holo,Base Set 2,2000,4,120,Mitsuhiro Arita,Stage 2,Fire,386.81,499.99,holofoil
pl4-2,Froslass,Pokémon,Rare Holo,Arceus,2009,2,80,TOKIYA,Stage 1,Water,6.02,11.43,holofoil
bw8-2,Grotle,Pokémon,Uncommon,Plasma Storm,2013,2,100,Sumiyoshi Kizuki,Stage 1,Grass,0.43,0.43,normal
pop3-2,Flareon,Pokémon,Rare,POP Series 3,2006,2,70,Masakazu Fukuda,Stage 1,Fire,22.31,7.3,normal
xy11-3,Hoppip,Pokémon,Common,Steam Siege,2016,3,40,Mina Nakai,Basic,Grass,0.19,0.2,normal
sm3-2,Metapod,Pokémon,Uncommon,Burning Shadows,2017,2,80,Suwama Chiaki,Stage 1,Grass,0.18,0.2,normal
swsh1-2,Roselia,Pokémon,Common,Sword & Shield,2020,2,70,sowsow,Basic,Grass,0.17,0.2,normal
pop9-2,Manaphy,Pokémon,Rare,POP Series 9,2009,2,70,Masakazu Fukuda,Basic,Water,3.33,4.01,normal
xy7-3,Vileplume,Pokémon,Rare,Ancient Origins,2015,3,130,Midori Harada,Stage 2,Grass,0.49,0.5,normal
bw10-3,Lileep,Pokémon,Uncommon,Plasma Blast,2013,3,80,Suwama Chiaki,Restored,Grass,0.58,0.52,normal
bw4-2,Seedot,Pokémon,Common,Next Destinies,2012,2,40,Kagemaru Himeno,Basic,Grass,0.22,0.23,normal
sm9-4,Kakuna,Pokémon,Uncommon,Team Up,2019,4,80,Yuka Morii,Stage 1,Grass,0.34,0.35,normal
hgss4-4,Drapion,Pokémon,Rare Holo,HS—Triumphant,2010,4,100,Sumiyoshi Kizuki,Stage 1,Darkness,2.83,3.06,holofoil
ex13-3,Deoxys δ,Pokémon,Rare Holo,Holon Phantoms,2006,3,70,Mitsuhiro Arita,Basic,Darkness,58.47,404.9,holofoil
sm5-2,Yanma,Pokémon,Common,Ultra Prism,2018,2,70,Akira Komayama,Basic,Grass,0.15,0.2,normal
sm75-1,Charmander,Pokémon,Common,Dragon Majesty,2018,1,70,tetsuya koizumi,Basic,Fire,3.66,3.99,normal
ex10-1,Ampharos,Pokémon,Rare Holo,Unseen Forces,2005,1,120,Kyoko Umemoto,Stage 2,Lightning,67.25,314.49,holofoil
bw6-1,Hoppip,Pokémon,Common,Dragons Exalted,2012,1,30,Kouki Saitou,Basic,Grass,0.36,0.36,normal
si1-4,Togepi,Pokémon,,Southern Islands,2001,4,40,Keiko Fukuyama,Basic,Colorless,126.68,181.34,reverseHolofoil
bw5-3,Venusaur,Pokémon,Rare Holo,Dark Explorers,2012,3,140,Masakazu Fukuda,Stage 2,Grass,13.88,13.88,holofoil
dp1-3,Electivire,Pokémon,Rare Holo,Diamond & Pearl,2007,3,100,Nakaoka,Stage 1,Lightning,13.99,18.08,holofoil
xy11-4,Skiploom,Pokémon,Uncommon,Steam Siege,2016,4,70,Eri Yamaki,Stage 1,Grass,0.16,0.2,normal
hgss4-5,Mamoswine,Pokémon,Rare Holo,HS—Triumphant,2010,5,140,Kagemaru Himeno,Stage 2,Water,3.21,3.25,holofoil
sm12-3,Gloom,Pokémon,Uncommon,Cosmic Eclipse,2019,3,80,sui,Stage 1,Grass,0.18,0.25,normal
ex7-4,Dark Electrode,Pokémon,Rare Holo,Team Rocket Returns,2004,4,70,Kouki Saitou,Stage 1,"Lightning, Darkness",26.71,241.95,holofoil
sm5-3,Yanmega,Pokémon,Uncommon,Ultra Prism,2018,3,120,SATOSHI NAKAI,Stage 1,Grass,0.14,0.22,normal
swsh1-3,Roselia,Pokémon,Common,Sword & Shield,2020,3,70,Naoyo Kimura,Basic,Grass,0.07,0.15,normal
pl3-4,Electivire FB,Pokémon,Rare Holo,Supreme Victors,2009,4,90,Hironobu Yoshida,"Basic, SP",Lightning,12.76,21.36,holofoil
hgss1-5,Hitmontop,Pokémon,Rare Holo,HeartGold & SoulSilver,2010,5,60,Ken Sugimori,Basic,Fighting,6.37,5.59,holofoil
ex12-5,Gengar,Pokémon,Rare Holo,Legend Maker,2006,5,100,Kouki Saitou,Stage 2,Psychic,131.31,155.99,holofoil
pl4-3,Heatran,Pokémon,Rare Holo,Arceus,2009,3,100,Keiko Moritsugu,Basic,Fire,2.97,2.96,holofoil
bw10-4,Cradily,Pokémon,Rare,Plasma Blast,2013,4,120,kawayoo,Stage 1,Grass,1.35,1.35,normal
pop4-3,Flygon,Pokémon,Rare,POP Series 4,2006,3,120,Hisao Nakamura,Stage 2,Fighting,19.0,242.99,normal
ex3-5,Golem,Pokémon,Rare Holo,Dragon,2003,5,120,Hisao Nakamura,Stage 2,Fighting,43.02,47.01,holofoil
swsh4-2,Kakuna,Pokémon,Uncommon,Vivid Voltage,2020,2,80,Naoyo Kimura,Stage 1,Grass,0.05,0.15,normal
xy5-4,Tangela,Pokémon,Common,Primal Clash,2015,4,80,match,Basic,Grass,0.17,0.2,normal
ex9-4,Gardevoir,Pokémon,Rare Holo,Emerald,2005,4,100,Kagemaru Himeno,Stage 2,Psychic,43.5,46.66,holofoil
ex11-5,Flareon δ,Pokémon,Rare Holo,Delta Species,2005,5,70,Kouki Saitou,Stage 1,"Fire, Metal",119.39,127.89,holofoil
